# Copyright (C) 1991-2010 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II Version 9.1 Build 350 03/24/2010 Service Pack 2 SJ Full Version
# File: E:\My_design\IR\DE2_115_IR\de2_115_ir.csv
# Generated on: Sun Jun 06 09:43:14 2010

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved
HEX2_D[0],Unknown,PIN_AA25,5,B5_N1,2.5 V,
HEX2_D[1],Unknown,PIN_AA26,5,B5_N1,2.5 V,
HEX2_D[2],Unknown,PIN_Y25,5,B5_N1,2.5 V,
HEX2_D[3],Unknown,PIN_W26,5,B5_N1,2.5 V,
HEX2_D[4],Unknown,PIN_Y26,5,B5_N1,2.5 V,
GPIO_DATA[0],Unknown,PIN_AB22,4,B4_N0,3.3-V LVTTL,
GPIO_DATA[1],Unknown,PIN_AC15,4,B4_N2,3.3-V LVTTL,
GPIO_DATA[2],Unknown,PIN_AB21,4,B4_N0,3.3-V LVTTL,
GPIO_DATA[3],Unknown,PIN_Y17,4,B4_N0,3.3-V LVTTL,
GPIO_DATA[4],Unknown,PIN_AC21,4,B4_N0,3.3-V LVTTL,
GPIO_DATA[5],Unknown,PIN_Y16,4,B4_N0,3.3-V LVTTL,
GPIO_DATA[6],Unknown,PIN_AD21,4,B4_N0,3.3-V LVTTL,
GPIO_DATA[7],Unknown,PIN_AE16,4,B4_N2,3.3-V LVTTL,
GPIO_DATA[10],Unknown,PIN_AC19,4,B4_N0,3.3-V LVTTL,
GPIO_DATA[11],Unknown,PIN_AF16,4,B4_N2,3.3-V LVTTL,
GPIO_DATA[12],Unknown,PIN_AD19,4,B4_N0,3.3-V LVTTL,
GPIO_DATA[13],Unknown,PIN_AF15,4,B4_N2,3.3-V LVTTL,
GPIO_DATA[14],Unknown,PIN_AF24,4,B4_N1,3.3-V LVTTL,
GPIO_DATA[15],Unknown,PIN_AE21,4,B4_N1,3.3-V LVTTL,
GPIO_DATA[16],Unknown,PIN_AF25,4,B4_N1,3.3-V LVTTL,
GPIO_DATA[17],Unknown,PIN_AC22,4,B4_N0,3.3-V LVTTL,
GPIO_DATA[18],Unknown,PIN_AE22,4,B4_N0,3.3-V LVTTL,
GPIO_DATA[19],Unknown,PIN_AF21,4,B4_N1,3.3-V LVTTL,
GPIO_DATA[20],Unknown,PIN_AF22,4,B4_N0,3.3-V LVTTL,
GPIO_DATA[21],Unknown,PIN_AD22,4,B4_N0,3.3-V LVTTL,
GPIO_DATA[22],Unknown,PIN_AG25,4,B4_N1,3.3-V LVTTL,
GPIO_DATA[23],Unknown,PIN_AD25,4,B4_N0,3.3-V LVTTL,
GPIO_DATA[24],Unknown,PIN_AH25,4,B4_N1,3.3-V LVTTL,
GPIO_DATA[25],Unknown,PIN_AE25,4,B4_N1,3.3-V LVTTL,
GPIO_DATA[26],Unknown,PIN_AG22,4,B4_N1,3.3-V LVTTL,
GPIO_DATA[27],Unknown,PIN_AE24,4,B4_N0,3.3-V LVTTL,
GPIO_DATA[28],Unknown,PIN_AH22,4,B4_N1,3.3-V LVTTL,
GPIO_DATA[29],Unknown,PIN_AF26,4,B4_N1,3.3-V LVTTL,
GPIO_DATA[30],Unknown,PIN_AE20,4,B4_N1,3.3-V LVTTL,
GPIO_DATA[31],Unknown,PIN_AG23,4,B4_N1,3.3-V LVTTL,
GPIO_DATA[32],Unknown,PIN_AF20,4,B4_N1,3.3-V LVTTL,
GPIO_DATA[33],Unknown,PIN_AH26,4,B4_N0,3.3-V LVTTL,
SMA_CLKOUT,Unknown,PIN_AE23,4,B4_N0,3.3-V LVTTL,
HEX2_D[5],Unknown,PIN_W27,5,B5_N1,2.5 V,
HEX2_D[6],Unknown,PIN_W28,5,B5_N1,2.5 V,
HEX3_D[0],Unknown,PIN_V21,5,B5_N1,2.5 V,
HEX3_D[1],Unknown,PIN_U21,5,B5_N0,2.5 V,
HEX3_D[2],Unknown,PIN_AB20,4,B4_N0,3.3-V LVTTL,
HEX3_D[3],Unknown,PIN_AA21,4,B4_N0,3.3-V LVTTL,
HEX3_D[4],Unknown,PIN_AD24,4,B4_N0,3.3-V LVTTL,
HEX3_D[5],Unknown,PIN_AF23,4,B4_N0,3.3-V LVTTL,
HEX3_D[6],Unknown,PIN_Y19,4,B4_N0,3.3-V LVTTL,
HEX4_D[0],Unknown,PIN_AB19,4,B4_N0,3.3-V LVTTL,
HEX4_D[1],Unknown,PIN_AA19,4,B4_N0,3.3-V LVTTL,
HEX4_D[2],Unknown,PIN_AG21,4,B4_N2,3.3-V LVTTL,
HEX4_D[3],Unknown,PIN_AH21,4,B4_N2,3.3-V LVTTL,
HEX4_D[4],Unknown,PIN_AE19,4,B4_N1,3.3-V LVTTL,
HEX4_D[5],Unknown,PIN_AF19,4,B4_N1,3.3-V LVTTL,
HEX4_D[6],Unknown,PIN_AE18,4,B4_N2,3.3-V LVTTL,
HEX5_D[0],Unknown,PIN_AD18,4,B4_N1,3.3-V LVTTL,
HEX5_D[1],Unknown,PIN_AC18,4,B4_N1,3.3-V LVTTL,
HEX5_D[2],Unknown,PIN_AB18,4,B4_N0,3.3-V LVTTL,
HEX5_D[3],Unknown,PIN_AH19,4,B4_N2,3.3-V LVTTL,
HEX5_D[4],Unknown,PIN_AG19,4,B4_N2,3.3-V LVTTL,
HEX5_D[5],Unknown,PIN_AF18,4,B4_N1,3.3-V LVTTL,
HEX5_D[6],Unknown,PIN_AH18,4,B4_N2,3.3-V LVTTL,
HEX6_D[0],Unknown,PIN_AA17,4,B4_N1,3.3-V LVTTL,
HEX6_D[1],Unknown,PIN_AB16,4,B4_N2,3.3-V LVTTL,
HEX6_D[2],Unknown,PIN_AA16,4,B4_N2,3.3-V LVTTL,
HEX6_D[3],Unknown,PIN_AB17,4,B4_N1,3.3-V LVTTL,
HEX6_D[4],Unknown,PIN_AB15,4,B4_N2,3.3-V LVTTL,
HEX6_D[5],Unknown,PIN_AA15,4,B4_N2,3.3-V LVTTL,
HEX6_D[6],Unknown,PIN_AC17,4,B4_N2,3.3-V LVTTL,
HEX7_D[0],Unknown,PIN_AD17,4,B4_N2,3.3-V LVTTL,
HEX7_D[1],Unknown,PIN_AE17,4,B4_N2,3.3-V LVTTL,
DRAM_CLK,Unknown,PIN_AE5,3,B3_N2,3.3-V LVTTL,
HEX7_D[2],Unknown,PIN_AG17,4,B4_N2,3.3-V LVTTL,
HEX7_D[3],Unknown,PIN_AH17,4,B4_N2,3.3-V LVTTL,
HEX7_D[4],Unknown,PIN_AF17,4,B4_N2,3.3-V LVTTL,
HEX7_D[5],Unknown,PIN_AG18,4,B4_N2,3.3-V LVTTL,
HEX7_D[6],Unknown,PIN_AA14,3,B3_N0,3.3-V LVTTL,
SD_DAT[0],Unknown,PIN_AE14,3,B3_N0,3.3-V LVTTL,
SD_DAT[1],Unknown,PIN_AF13,3,B3_N0,3.3-V LVTTL,
SD_DAT[2],Unknown,PIN_AB14,3,B3_N0,3.3-V LVTTL,
SD_DAT[3],Unknown,PIN_AC14,3,B3_N0,3.3-V LVTTL,
SD_CLK,Unknown,PIN_AE13,3,B3_N0,3.3-V LVTTL,
SD_CMD,Unknown,PIN_AD14,3,B3_N0,3.3-V LVTTL,
SD_WP_n,Unknown,PIN_AF14,3,B3_N0,3.3-V LVTTL,
FLASH_DQ[7],Unknown,PIN_AF12,3,B3_N1,3.3-V LVTTL,
FLASH_DQ[6],Unknown,PIN_AH11,3,B3_N0,3.3-V LVTTL,
FLASH_DQ[5],Unknown,PIN_AG11,3,B3_N0,3.3-V LVTTL,
FLASH_DQ[4],Unknown,PIN_AF11,3,B3_N1,3.3-V LVTTL,
FLASH_DQ[3],Unknown,PIN_AH10,3,B3_N1,3.3-V LVTTL,
FLASH_DQ[2],Unknown,PIN_AG10,3,B3_N1,3.3-V LVTTL,
FLASH_DQ[1],Unknown,PIN_AF10,3,B3_N1,3.3-V LVTTL,
FLASH_DQ[0],Unknown,PIN_AH8,3,B3_N1,3.3-V LVTTL,
FLASH_ADDR[0],Unknown,PIN_AG12,3,B3_N0,3.3-V LVTTL,
FLASH_ADDR[22],Unknown,PIN_AD11,3,B3_N0,3.3-V LVTTL,
FLASH_ADDR[21],Unknown,PIN_AD10,3,B3_N2,3.3-V LVTTL,
FLASH_ADDR[20],Unknown,PIN_AE10,3,B3_N1,3.3-V LVTTL,
FLASH_ADDR[19],Unknown,PIN_AD12,3,B3_N0,3.3-V LVTTL,
FLASH_ADDR[18],Unknown,PIN_AC12,3,B3_N0,3.3-V LVTTL,
FLASH_ADDR[17],Unknown,PIN_AH12,3,B3_N0,3.3-V LVTTL,
FLASH_ADDR[16],Unknown,PIN_AA8,3,B3_N1,3.3-V LVTTL,
FLASH_ADDR[15],Unknown,PIN_Y10,3,B3_N2,3.3-V LVTTL,
FLASH_ADDR[14],Unknown,PIN_AC8,3,B3_N1,3.3-V LVTTL,
FLASH_ADDR[13],Unknown,PIN_AD8,3,B3_N2,3.3-V LVTTL,
FLASH_ADDR[12],Unknown,PIN_AA10,3,B3_N1,3.3-V LVTTL,
FLASH_ADDR[11],Unknown,PIN_AF9,3,B3_N1,3.3-V LVTTL,
FLASH_ADDR[10],Unknown,PIN_AE9,3,B3_N1,3.3-V LVTTL,
FLASH_ADDR[9],Unknown,PIN_AB10,3,B3_N1,3.3-V LVTTL,
FLASH_ADDR[8],Unknown,PIN_AB12,3,B3_N0,3.3-V LVTTL,
FLASH_ADDR[7],Unknown,PIN_AB13,3,B3_N0,3.3-V LVTTL,
FLASH_ADDR[6],Unknown,PIN_AA12,3,B3_N0,3.3-V LVTTL,
FLASH_ADDR[5],Unknown,PIN_AA13,3,B3_N0,3.3-V LVTTL,
FLASH_ADDR[4],Unknown,PIN_Y12,3,B3_N0,3.3-V LVTTL,
FLASH_ADDR[3],Unknown,PIN_Y14,3,B3_N0,3.3-V LVTTL,
FLASH_ADDR[2],Unknown,PIN_Y13,3,B3_N0,3.3-V LVTTL,
FLASH_ADDR[1],Unknown,PIN_AH7,3,B3_N1,3.3-V LVTTL,
FLASH_CE_n,Unknown,PIN_AG7,3,B3_N2,3.3-V LVTTL,
FLASH_OE_n,Unknown,PIN_AG8,3,B3_N1,3.3-V LVTTL,
FLASH_WE_n,Unknown,PIN_AC10,3,B3_N0,3.3-V LVTTL,
FLASH_RESET_n,Unknown,PIN_AE11,3,B3_N1,3.3-V LVTTL,
FLASH_WP_n,Unknown,PIN_AE12,3,B3_N1,3.3-V LVTTL,
FLASH_RY,Unknown,PIN_Y1,2,B2_N0,3.3-V LVTTL,
SRAM_DQ[15],Unknown,PIN_AG3,3,B3_N2,3.3-V LVTTL,
SRAM_DQ[14],Unknown,PIN_AF3,3,B3_N2,3.3-V LVTTL,
SRAM_DQ[13],Unknown,PIN_AE4,3,B3_N2,3.3-V LVTTL,
SRAM_DQ[12],Unknown,PIN_AE3,2,B2_N2,3.3-V LVTTL,
SRAM_DQ[11],Unknown,PIN_AE1,2,B2_N1,3.3-V LVTTL,
SRAM_DQ[10],Unknown,PIN_AE2,2,B2_N1,3.3-V LVTTL,
SRAM_DQ[9],Unknown,PIN_AD2,2,B2_N1,3.3-V LVTTL,
SRAM_DQ[8],Unknown,PIN_AD1,2,B2_N1,3.3-V LVTTL,
SRAM_DQ[7],Unknown,PIN_AF7,3,B3_N1,3.3-V LVTTL,
SRAM_DQ[6],Unknown,PIN_AH6,3,B3_N2,3.3-V LVTTL,
SRAM_DQ[5],Unknown,PIN_AG6,3,B3_N2,3.3-V LVTTL,
SRAM_DQ[4],Unknown,PIN_AF6,3,B3_N2,3.3-V LVTTL,
SRAM_DQ[3],Unknown,PIN_AH4,3,B3_N2,3.3-V LVTTL,
SRAM_DQ[2],Unknown,PIN_AG4,3,B3_N2,3.3-V LVTTL,
SRAM_DQ[1],Unknown,PIN_AF4,3,B3_N2,3.3-V LVTTL,
SRAM_DQ[0],Unknown,PIN_AH3,3,B3_N2,3.3-V LVTTL,
SRAM_UB_n,Unknown,PIN_AC4,2,B2_N2,3.3-V LVTTL,
SRAM_LB_n,Unknown,PIN_AD4,3,B3_N2,3.3-V LVTTL,
SRAM_CE_n,Unknown,PIN_AF8,3,B3_N1,3.3-V LVTTL,
SRAM_OE_n,Unknown,PIN_AD5,3,B3_N2,3.3-V LVTTL,
SRAM_WE_n,Unknown,PIN_AE8,3,B3_N1,3.3-V LVTTL,
SRAM_ADDR[5],Unknown,PIN_AE6,3,B3_N2,3.3-V LVTTL,
